,ID,Title,Popularity,Release_Date,Vote_Average,Vote_Count
4216,295699,Everybody Wants Some!!,7.944,2016-03-30,6.4,656
4217,11846,Father of the Bride,9.052,1991-12-20,6.4,588
4218,192132,Palo Alto,6.477,2014-05-09,6.4,510
4219,320588,"Hello, My Name Is Doris",8.185,2015-11-27,6.4,251
4220,43947,I Spit on Your Grave,12.765,2010-06-17,6.4,936
4221,369299,Don't Blame the Kid,5.969,2016-05-13,6.4,165
4222,16614,Adventureland,8.37,2009-04-03,6.4,1213
4223,10466,The Money Pit,8.907,1986-03-15,6.4,457
4224,11114,Pete's Dragon,8.938,1977-11-03,6.4,333
4225,245473,Cloud 9,5.109,2014-01-17,6.4,217
4226,9872,Explorers,5.955,1985-07-12,6.4,192
4227,435,The Day After Tomorrow,11.353,2004-05-26,6.4,4172
4228,429733,Mayhem,7.042,2017-03-13,6.4,210
4229,24740,The Entity,6.934,1982-09-30,6.4,163
4230,73723,The Lorax,19.833,2012-03-01,6.4,1721
4231,36668,X-Men: The Last Stand,1.221,2006-05-24,6.4,5614
4232,10651,The Dead Pool,8.163,1988-07-12,6.4,335
4233,30923,Alice in Wonderland,6.385,1999-02-28,6.4,171
4234,295693,The Boss Baby,6.05,2017-03-23,6.4,4178
4235,395992,Life,14.779,2017-03-22,6.4,3967
4236,214,Saw III,9.637,2006-10-27,6.4,2163
4237,10591,The Girl Next Door,15.072,2004-04-09,6.4,1431
4238,1247,The Good Shepherd,12.278,2006-12-11,6.4,524
4239,242042,Barefoot,7.357,2014-02-02,6.4,323
4240,157547,Oculus,8.746,2014-04-03,6.4,1694
4241,301351,We Are Your Friends,7.305,2015-08-26,6.4,1176
4242,522681,Escape Room,36.116,2019-01-03,6.4,543
4243,396461,Under the Silver Lake,13.408,2018-06-21,6.4,263
4244,12665,Powder,8.619,1995-10-27,6.4,223
4245,19124,Blind Fury,8.693,1989-08-17,6.4,153
4246,45243,The Hangover Part II,12.8,2011-05-25,6.3,5982
4247,13053,Bolt,14.117,2008-01-29,6.3,3215
4248,397,French Kiss,8.835,1995-05-05,6.3,324
4249,10159,The Rundown,9.321,2003-09-26,6.3,874
4250,50780,The Beaver,7.119,2011-02-11,6.3,453
4251,209403,Bad Words,5.867,2013-09-06,6.3,438
4252,14001,Dead Silence,10.327,2007-03-16,6.3,939
4253,390054,Sand Castle,8.026,2017-04-21,6.3,330
4254,20526,TRON: Legacy,14.509,2010-12-10,6.3,4258
4255,82654,Warm Bodies,12.034,2013-01-31,6.3,3984
4256,298729,Do You See Me?,8.841,2014-11-20,6.3,296
4257,324852,Despicable Me 3,13.03,2017-06-15,6.3,3940
4258,6947,The Village,11.543,2004-07-30,6.3,1950
4259,27586,The Runaways,6.589,2010-03-19,6.3,434
4260,66195,The Perfect Host,5.028,2010-07-01,6.3,211
4261,39101,Dragon Ball Z: The Tree of Might,8.132,1990-06-07,6.3,196
4262,27582,The Mechanic,12.721,2011-01-13,6.3,1620
4263,177888,Teen Beach Movie,6.526,2013-07-19,6.3,404
4264,1909,Don Juan DeMarco,8.062,1994-10-12,6.3,340
4265,12222,Horton Hears a Who!,10.73,2008-03-03,6.3,1660
4266,9291,The Longest Yard,11.6,2005-05-27,6.3,1480
4267,301355,Message from the King,7.749,2017-05-10,6.3,183
4268,2290,Jakob the Liar,5.821,1999-09-16,6.3,152
4269,12437,Underworld: Rise of the Lycans,11.692,2009-01-22,6.3,2074
4270,13483,Awake,7.238,2007-11-28,6.3,674
4271,58232,Chalet Girl,5.155,2011-02-02,6.3,355
4272,13027,Eagle Eye,10.027,2008-09-25,6.3,1549
4273,928,Gremlins 2: The New Batch,13.936,1990-06-15,6.3,1181
4274,9255,Hot Shots! Part Deux,9.749,1993-05-21,6.3,783
4275,2294,Jay and Silent Bob Strike Back,8.68,2001-08-22,6.3,748
4276,26390,Brooklyn's Finest,8.042,2009-01-16,6.3,437
4277,10684,Courage Under Fire,9.018,1996-07-04,6.3,376
4278,33689,It Takes Two,7.099,1995-11-17,6.3,368
4279,76170,The Wolverine,2.928,2013-07-23,6.3,5964
4280,75761,John Dies at the End,7.169,2012-01-23,6.3,358
4281,11890,Oscar,7.4,1991-04-26,6.3,218
4282,10398,Double Jeopardy,8.98,1999-09-24,6.3,485
4283,9272,The Good Son,6.649,1993-09-24,6.3,351
4284,82525,Savages,7.486,2012-07-06,6.3,1200
4285,535,Flashdance,9.129,1983-04-14,6.3,603
4286,15596,Back to School,6.54,1986-06-13,6.3,178
4287,14462,The Manchurian Candidate,9.681,2004-07-30,6.3,684
4288,9437,Kiss the Girls,11.354,1997-10-03,6.3,590
4289,10527,Madagascar: Escape 2 Africa,14.979,2008-10-30,6.3,3540
4290,2655,What Lies Beneath,8.482,2000-07-21,6.3,871
4291,12106,The Quick and the Dead,8.236,1995-02-09,6.3,698
4292,10539,James and the Giant Peach,9.972,1996-04-12,6.3,610
4293,325189,Teen Beach 2,13.501,2015-06-26,6.3,249
4294,7300,One Fine Day,7.572,1996-12-20,6.3,293
4295,10056,Killer's Kiss,5.342,1955-09-21,6.3,190
4296,10743,Confidence,7.63,2003-04-25,6.3,192
4297,477033,Errementari: The Blacksmith and the Devil,9.357,2018-03-02,6.3,178
4298,382322,Batman: The Killing Joke,7.439,2016-07-21,6.3,837
4299,76812,Black Butterfly,6.856,2017-05-26,6.3,278
4300,4728,The Gendarme in New York,7.288,1965-10-28,6.3,185
4301,74,War of the Worlds,13.084,2005-06-28,6.3,4217
4302,189,Sin City: A Dame to Kill For,18.163,2014-08-20,6.3,2124
4303,1687,Escape from the Planet of the Apes,7.914,1971-05-20,6.3,416
4304,11503,The Serpent and the Rainbow,7.85,1988-02-05,6.3,177
4305,11379,The Adventures of Buckaroo Banzai Across the 8th Dimension,8.285,1984-08-15,6.3,160
4306,27958,Cruising,7.371,1980-05-06,6.3,151
4307,10540,Outland,7.003,1981-05-22,6.3,223
4308,193610,The Other Woman,10.904,2014-04-16,6.3,2184
4309,36586,Blade II,14.333,2002-03-22,6.3,2454
4310,5551,Space Cowboys,8.575,2000-07-31,6.3,638
4311,75674,Act of Valor,9.504,2012-02-24,6.3,572
4312,210947,Afflicted,5.05,2014-04-04,6.3,272
4313,20481,Nightbreed,8.09,1990-02-16,6.3,165
4314,62592,Revenge of the Bridesmaids,5.399,2010-07-18,6.3,159
4315,172385,Rio 2,12.06,2014-03-19,6.3,1712
4316,8054,The Imaginarium of Doctor Parnassus,10.0,2009-10-01,6.3,1547
4317,258099,Just Before I Go,5.431,2014-04-24,6.3,155
4318,8077,Alien³,12.138,1992-05-22,6.3,2693
4319,18405,The Last House on the Left,8.167,2009-03-13,6.3,767
4320,293167,Kong: Skull Island,20.392,2017-03-08,6.3,5811
4321,14254,The Uninvited,9.18,2009-01-30,6.3,727
4322,309304,Grandma,7.044,2015-06-04,6.3,201
4323,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,16.972,2010-08-13,6.3,3067
4324,10074,Hot Rod,8.997,2007-08-03,6.3,442
4325,10380,An American Tail: Fievel Goes West,8.271,1991-11-21,6.3,340
4326,13333,Game of Death,11.205,1978-03-23,6.3,241
4327,38843,Ramona and Beezus,6.156,2010-07-23,6.3,441
4328,81342,Delicacy,5.6,2011-12-20,6.3,240
4329,4488,Friday the 13th,11.213,1980-05-09,6.3,1189
4330,2577,Code 46,6.669,2003-09-02,6.3,164
4331,238615,Self/less,17.009,2015-07-10,6.3,1754
4332,20048,Confessions of a Shopaholic,11.393,2009-02-05,6.3,1559
4333,49527,Man on a Ledge,9.642,2012-01-13,6.3,1411
4334,250574,Creep,6.22,2014-06-23,6.3,532
4335,84306,Liberal Arts,7.605,2012-09-14,6.3,274
4336,419511,Mister Happiness,5.486,2017-01-01,6.3,188
4337,193893,Let's Be Cops,17.837,2014-08-13,6.3,1648
4338,9315,Flightplan,6.622,2005-09-22,6.3,1247
4339,7553,Waiting...,9.311,2005-10-07,6.3,344
4340,9688,Melinda and Melinda,6.677,2004-10-29,6.3,201
4341,302429,Strange Magic,5.684,2015-01-23,6.3,163
4342,346685,The Girl on the Train,8.936,2016-10-05,6.3,3344
4343,515841,I Am Not an Easy Man,11.048,2018-04-13,6.3,516
4344,1989,My Blueberry Nights,6.687,2007-11-28,6.3,332
4345,486101,There Is No Place Like Home,6.608,2018-02-14,6.3,280
4346,15070,Undisputed,12.448,2002-08-23,6.3,253
4347,392207,The Invisible Guardian,7.52,2017-03-03,6.3,172
4348,15739,Annie,7.672,1982-06-18,6.3,340
4349,184098,Think Like a Man Too,8.842,2014-06-20,6.3,311
4350,338970,Tomb Raider,24.463,2018-03-05,6.3,4022
4351,16962,Barbie Fairytopia: Magic of the Rainbow,8.63,2007-01-01,6.3,169
4352,72105,Ted,15.543,2012-06-29,6.3,7458
4353,72387,Safe,13.911,2012-04-16,6.3,1207
4354,308504,Last Knights,9.622,2015-04-03,6.3,512
4355,12412,Miracle at St. Anna,8.778,2008-09-15,6.3,174
4356,8346,My Big Fat Greek Wedding,8.467,2002-02-22,6.3,1103
4357,7461,Vantage Point,10.787,2008-02-01,6.3,1075
4358,12403,A Perfect Getaway,9.575,2009-06-08,6.3,606
4359,6283,MouseHunt,9.399,1997-12-19,6.3,527
4360,202575,Thunder and the House of Magic,7.229,2013-12-24,6.3,186
4361,700,Octopussy,13.36,1983-06-05,6.3,864
4362,8388,¡Three Amigos!,10.747,1986-12-12,6.3,425
4363,400547,Hurricane Bianca,5.216,2016-06-03,6.3,183
4364,23631,Machete,13.296,2010-09-01,6.3,1783
4365,294272,Pete's Dragon,10.693,2016-08-10,6.3,1263
4366,9515,The Matador,7.293,2005-05-12,6.3,213
4367,3537,Fame,5.584,1980-05-16,6.3,166
4368,15577,Crossing Over,8.51,2009-02-10,6.3,163
4369,2207,16 Blocks,9.12,2006-03-01,6.3,1022
4370,13022,Rogue,5.857,2007-11-08,6.3,238
4371,38575,The Karate Kid,12.051,2010-06-10,6.3,3004
4372,20662,Robin Hood,13.443,2010-05-12,6.3,2457
4373,11247,A Cinderella Story,10.104,2004-07-10,6.3,1584
4374,483906,Polar,21.832,2019-01-25,6.3,675
4375,429189,Wonder Wheel,7.777,2017-12-01,6.3,673
4376,21407,The Collector,9.446,2009-07-09,6.3,584
4377,13679,Kirikou and the Wild Beasts,5.292,2005-12-07,6.3,158
4378,4564,Sex and the City,7.535,2008-05-12,6.3,953
4379,617,Wild Things,9.643,1998-03-20,6.3,716
4380,411143,Tau,9.193,2018-06-20,6.3,559
